poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.30281692673744787,-0.002826019530606757,0.006391377711361847,0.031112199554881658,0.0316359334271126,0.29871675289235894,-177.0788329098583,350
Store,0.3136140354985146,0.0015959104112942383,0.006333433650039647,0.03240694966162979,0.0329814468774489,0.3090005707664193,100.0,350
Education,0.6081706810200896,-0.009916899784239656,0.07684242539910642,0.16368724706512885,0.18055450227465145,0.44790565806919186,-621.3945165128241,350
Public Transportation,0.36233211975204127,4.43853821247344e-05,0.008393631293189296,0.04077865450272658,0.04163351701786198,0.3535071707179324,2.7811950978337876,350
Restaurant,0.30170557399314246,-0.0027715932149480382,0.006316040515870544,0.030898766201415895,0.03141567111520512,0.29695445739896575,-172.32913927119742,360
Store,0.3130467428281577,0.0016083137342120261,0.00628864336160226,0.032139080283617956,0.03270903306028183,0.3071356920770565,100.0,360
Education,0.6086685143426691,-0.010020440458832243,0.07722190561506775,0.1642695450526794,0.18123823247771892,0.44943946307380234,-623.0401597448048,360
Public Transportation,0.36205944675429913,4.538407206696955e-05,0.0083885249506325,0.04087889664118613,0.04173067794481856,0.35271918512536204,2.8218419765721223,360
Restaurant,0.3006316523151931,-0.002717536646636566,0.006240670845585001,0.030673953560445978,0.03118416896769126,0.2952419333672805,-167.8065661354882,370
Store,0.3125064471493697,0.0016194459544821432,0.006243906092111292,0.03187498375747617,0.03244038143467159,0.305310234752234,100.0,370
Education,0.6089285520829527,-0.010119437835595215,0.07750799401884739,0.16474281165892876,0.18178360791888382,0.4509139507347086,-624.8703643111787,370
Public Transportation,0.36181146295456024,4.6487272317207e-05,0.00838477448276144,0.04097636658970634,0.041825409752377585,0.3519490639433194,2.870566454443515,370
Restaurant,0.299599271181161,-0.002662631738759979,0.006165357525614174,0.030436616790701528,0.030940421252891977,0.2935767231157291,-163.4185316702732,380
Store,0.31198623326987635,0.0016293328005983591,0.006199123541628285,0.031613974911626756,0.0321748009632108,0.3035224222039504,100.0,380
Education,0.6095139628678686,-0.010227759308055964,0.07780619668816594,0.16516990918496943,0.1822917883032176,0.4523587838061272,-627.7268403545245,380
Public Transportation,0.3615956107024607,4.786374718216151e-05,0.008383022664598068,0.0410708653716749,0.0419176425915761,0.35119567217655445,2.9376286517146126,380
